Results Table 1
;"1"
End date;"maandag 12 april 2021 12:58:07"
Maximum Force;(kN);"22.81"
Displacement at Maximum Force;(mm);"6.35"
LVDT-10 at Maximum Force;(mm);"-0.12"

Time;Force;Displacement;LVDT-10
(s);(kN);(mm);(mm)
"0.0000";"0.2231";"0.0000";"0.0000"
"0.1000";"0.2262";"0.0041";"0.0000"
"0.2000";"0.2388";"0.0133";"0.0000"
"0.3000";"0.2422";"0.0217";"0.0000"
"0.4000";"0.2432";"0.0300";"0.0000"
"0.5000";"0.2440";"0.0383";"0.0000"
"0.6000";"0.2445";"0.0467";"0.0000"
"0.7000";"0.2449";"0.0551";"0.0000"
"0.8000";"0.2457";"0.0633";"0.0000"
"0.9000";"0.2463";"0.0717";"0.0000"
"1.0000";"0.2472";"0.0800";"0.0000"
"1.1000";"0.2478";"0.0883";"0.0000"
"1.2000";"0.2482";"0.0967";"0.0000"
"1.3000";"0.2494";"0.1051";"0.0000"
"1.4000";"0.2497";"0.1134";"0.0000"
"1.5000";"0.2498";"0.1217";"0.0000"
"1.6000";"0.2513";"0.1300";"0.0000"
"1.7000";"0.2517";"0.1383";"0.0000"
"1.8000";"0.2519";"0.1466";"0.0000"
"1.9000";"0.2527";"0.1551";"-0.0001"
"2.0000";"0.2532";"0.1634";"0.0000"
"2.1000";"0.2544";"0.1717";"-0.0001"
"2.2000";"0.2550";"0.1800";"-0.0001"
"2.3000";"0.2552";"0.1883";"-0.0001"
"2.4000";"0.2561";"0.1966";"-0.0001"
"2.5000";"0.2570";"0.2050";"-0.0001"
"2.6000";"0.2579";"0.2134";"0.0000"
"2.7000";"0.2592";"0.2217";"0.0000"
"2.8000";"0.2602";"0.2300";"0.0000"
"2.9000";"0.2611";"0.2384";"-0.0001"
"3.0000";"0.2628";"0.2466";"-0.0001"
"3.1000";"0.2659";"0.2550";"-0.0001"
"3.2000";"0.2702";"0.2634";"-0.0001"
"3.3000";"0.2711";"0.2717";"-0.0001"
"3.4000";"0.2732";"0.2800";"0.0000"
"3.5000";"0.2752";"0.2884";"0.0000"
"3.6000";"0.2771";"0.2967";"0.0000"
"3.7000";"0.2793";"0.3050";"0.0000"
"3.8000";"0.2815";"0.3134";"0.0000"
"3.9000";"0.2807";"0.3217";"0.0000"
"4.0000";"0.2795";"0.3300";"0.0000"
"4.1000";"0.2821";"0.3384";"0.0001"
"4.2000";"0.2818";"0.3467";"0.0001"
"4.3000";"0.2835";"0.3549";"0.0001"
"4.4000";"0.2836";"0.3634";"0.0001"
"4.5000";"0.2846";"0.3717";"0.0001"
"4.6000";"0.2876";"0.3800";"0.0002"
"4.7000";"0.2861";"0.3883";"0.0002"
"4.8000";"0.2889";"0.3967";"0.0002"
"4.9000";"0.2844";"0.4050";"0.0002"
"5.0000";"0.2905";"0.4133";"0.0002"
"5.1000";"0.2859";"0.4218";"0.0003"
"5.2000";"0.2897";"0.4300";"0.0003"
"5.3000";"0.2901";"0.4383";"0.0004"
"5.4000";"0.2892";"0.4467";"0.0005"
"5.5000";"0.2912";"0.4550";"0.0004"
"5.6000";"0.2950";"0.4633";"0.0004"
"5.7000";"0.2964";"0.4717";"0.0005"
"5.8000";"0.2965";"0.4801";"0.0004"
"5.9000";"0.2982";"0.4883";"0.0005"
"6.0000";"0.2993";"0.4967";"0.0005"
"6.1000";"0.3053";"0.5050";"0.0005"
"6.2000";"0.3139";"0.5133";"0.0005"
"6.3000";"0.3229";"0.5217";"0.0005"
"6.4000";"0.3321";"0.5301";"0.0005"
"6.5000";"0.3406";"0.5384";"0.0005"
"6.6000";"0.3499";"0.5467";"0.0005"
"6.7000";"0.3575";"0.5550";"0.0005"
"6.8000";"0.3612";"0.5633";"0.0006"
"6.9000";"0.3715";"0.5716";"0.0005"
"7.0000";"0.3810";"0.5801";"0.0005"
"7.1000";"0.3913";"0.5884";"0.0005"
"7.2000";"0.4003";"0.5967";"0.0006"
"7.3000";"0.4062";"0.6051";"0.0006"
"7.4000";"0.4165";"0.6134";"0.0006"
"7.5000";"0.4217";"0.6216";"0.0006"
"7.6000";"0.4088";"0.6300";"0.0006"
"7.7000";"0.4219";"0.6384";"0.0006"
"7.8000";"0.4197";"0.6466";"0.0007"
"7.9000";"0.4260";"0.6550";"0.0007"
"8.0000";"0.4408";"0.6634";"0.0007"
"8.1000";"0.4542";"0.6716";"0.0007"
"8.2000";"0.4677";"0.6800";"0.0006"
"8.3000";"0.4782";"0.6884";"0.0006"
"8.4000";"0.4898";"0.6967";"0.0007"
"8.5000";"0.5003";"0.7050";"0.0007"
"8.6000";"0.5108";"0.7134";"0.0007"
"8.7000";"0.5243";"0.7216";"0.0007"
"8.8000";"0.5379";"0.7300";"0.0007"
"8.9000";"0.5527";"0.7384";"0.0007"
"9.0000";"0.5663";"0.7467";"0.0007"
"9.1000";"0.5768";"0.7550";"0.0007"
"9.2000";"0.5843";"0.7634";"0.0007"
"9.3000";"0.5995";"0.7717";"0.0007"
"9.4000";"0.6168";"0.7799";"0.0007"
"9.5000";"0.6341";"0.7884";"0.0007"
"9.6000";"0.6514";"0.7968";"0.0007"
"9.7000";"0.6678";"0.8050";"0.0007"
"9.8000";"0.6807";"0.8133";"0.0007"
"9.9000";"0.6867";"0.8217";"0.0007"
"10.0000";"0.6833";"0.8300";"0.0007"
"10.1000";"0.7055";"0.8383";"0.0007"
"10.2000";"0.7252";"0.8467";"0.0007"
"10.3000";"0.7350";"0.8550";"0.0007"
"10.4000";"0.7520";"0.8633";"0.0007"
"10.5000";"0.7650";"0.8717";"0.0008"
"10.6000";"0.7752";"0.8800";"0.0007"
"10.7000";"0.7820";"0.8883";"0.0008"
"10.8000";"0.7883";"0.8967";"0.0008"
"10.9000";"0.7949";"0.9051";"0.0008"
"11.0000";"0.7957";"0.9133";"0.0008"
"11.1000";"0.7905";"0.9217";"0.0009"
"11.2000";"0.8000";"0.9300";"0.0009"
"11.3000";"0.8082";"0.9383";"0.0008"
"11.4000";"0.8173";"0.9467";"0.0008"
"11.5000";"0.8240";"0.9551";"0.0008"
