Results Table 1
;"1"
End date;"maandag 12 april 2021 11:56:03"
Maximum Force;(kN);"23.42"
Displacement at Maximum Force;(mm);"5.46"
LVDT-10 at Maximum Force;(mm);"-0.11"

Time;Force;Displacement;LVDT-10
(s);(kN);(mm);(mm)
"0.0000";"0.3111";"0.0000";"0.0001"
"0.1000";"0.3132";"0.0046";"0.0001"
"0.2000";"0.3134";"0.0136";"0.0001"
"0.3000";"0.3147";"0.0220";"0.0001"
"0.4000";"0.3156";"0.0304";"0.0002"
"0.5000";"0.3156";"0.0387";"0.0003"
"0.6000";"0.3161";"0.0470";"0.0003"
"0.7000";"0.3171";"0.0554";"0.0002"
"0.8000";"0.3176";"0.0637";"0.0002"
"0.9000";"0.3186";"0.0720";"0.0002"
"1.0000";"0.3189";"0.0804";"0.0003"
"1.1000";"0.3195";"0.0887";"0.0003"
"1.2000";"0.3203";"0.0970";"0.0004"
"1.3000";"0.3213";"0.1054";"0.0004"
"1.4000";"0.3217";"0.1137";"0.0005"
"1.5000";"0.3226";"0.1220";"0.0004"
"1.6000";"0.3236";"0.1304";"0.0004"
"1.7000";"0.3246";"0.1388";"0.0004"
"1.8000";"0.3245";"0.1470";"0.0005"
"1.9000";"0.3253";"0.1553";"0.0005"
"2.0000";"0.3266";"0.1637";"0.0005"
"2.1000";"0.3267";"0.1720";"0.0004"
"2.2000";"0.3281";"0.1803";"0.0004"
"2.3000";"0.3284";"0.1887";"0.0004"
"2.4000";"0.3287";"0.1970";"0.0004"
"2.5000";"0.3298";"0.2053";"0.0004"
"2.6000";"0.3299";"0.2137";"0.0004"
"2.7000";"0.3310";"0.2220";"0.0004"
"2.8000";"0.3320";"0.2303";"0.0004"
"2.9000";"0.3334";"0.2387";"0.0004"
"3.0000";"0.3370";"0.2471";"0.0004"
"3.1000";"0.3408";"0.2553";"0.0004"
"3.2000";"0.3449";"0.2637";"0.0004"
"3.3000";"0.3495";"0.2720";"0.0004"
"3.4000";"0.3548";"0.2803";"0.0003"
"3.5000";"0.3605";"0.2887";"0.0003"
"3.6000";"0.3655";"0.2971";"0.0003"
"3.7000";"0.3719";"0.3054";"0.0003"
"3.8000";"0.3776";"0.3137";"0.0003"
"3.9000";"0.3835";"0.3220";"0.0003"
"4.0000";"0.3885";"0.3303";"0.0002"
"4.1000";"0.3938";"0.3387";"0.0002"
"4.2000";"0.3984";"0.3471";"0.0002"
"4.3000";"0.4023";"0.3554";"0.0002"
"4.4000";"0.4079";"0.3637";"0.0003"
"4.5000";"0.4162";"0.3720";"0.0003"
"4.6000";"0.4290";"0.3803";"0.0002"
"4.7000";"0.4441";"0.3886";"0.0002"
"4.8000";"0.4602";"0.3971";"0.0001"
"4.9000";"0.4766";"0.4054";"0.0001"
"5.0000";"0.4949";"0.4137";"0.0002"
"5.1000";"0.5153";"0.4220";"0.0002"
"5.2000";"0.5357";"0.4304";"0.0002"
"5.3000";"0.5559";"0.4386";"0.0001"
"5.4000";"0.5722";"0.4470";"0.0001"
"5.5000";"0.5875";"0.4554";"0.0002"
"5.6000";"0.6026";"0.4637";"0.0002"
"5.7000";"0.6170";"0.4720";"0.0003"
"5.8000";"0.6323";"0.4804";"0.0004"
"5.9000";"0.6452";"0.4887";"0.0005"
"6.0000";"0.6601";"0.4970";"0.0004"
"6.1000";"0.6757";"0.5054";"0.0004"
"6.2000";"0.6891";"0.5137";"0.0005"
"6.3000";"0.7008";"0.5220";"0.0006"
"6.4000";"0.7149";"0.5304";"0.0006"
"6.5000";"0.7252";"0.5387";"0.0007"
"6.6000";"0.7396";"0.5470";"0.0007"
"6.7000";"0.7550";"0.5554";"0.0007"
"6.8000";"0.7650";"0.5637";"0.0007"
"6.9000";"0.7920";"0.5720";"0.0007"
"7.0000";"0.8218";"0.5804";"0.0006"
"7.1000";"0.8502";"0.5887";"0.0005"
"7.2000";"0.8774";"0.5970";"0.0005"
"7.3000";"0.9045";"0.6053";"0.0004"
"7.4000";"0.9319";"0.6138";"0.0004"
"7.5000";"0.9620";"0.6220";"0.0004"
"7.6000";"0.9912";"0.6303";"0.0004"
"7.6320";"1.0003";"0.6330";"0.0004"
"7.6330";"1.0006";"0.6331";"0.0004"
"7.7330";"1.0100";"0.6361";"0.0003"
"7.8330";"1.0146";"0.6379";"0.0003"
"7.9330";"1.0203";"0.6397";"0.0003"
"8.0330";"1.0256";"0.6413";"0.0003"
"8.1330";"1.0313";"0.6430";"0.0003"
"8.2330";"1.0379";"0.6447";"0.0002"
"8.3330";"1.0436";"0.6463";"0.0003"
"8.4330";"1.0489";"0.6480";"0.0003"
"8.5330";"1.0553";"0.6496";"0.0002"
"8.6330";"1.0610";"0.6513";"0.0002"
"8.7330";"1.0674";"0.6530";"0.0003"
"8.8330";"1.0736";"0.6546";"0.0002"
"8.9330";"1.0790";"0.6563";"0.0002"
"9.0330";"1.0849";"0.6580";"0.0002"
"9.1330";"1.0913";"0.6596";"0.0002"
"9.2330";"1.0973";"0.6613";"0.0002"
"9.3330";"1.1038";"0.6630";"0.0002"
"9.4330";"1.1092";"0.6646";"0.0001"
"9.5330";"1.1157";"0.6664";"0.0002"
"9.6330";"1.1212";"0.6679";"0.0001"
"9.7330";"1.1276";"0.6696";"0.0002"
"9.8330";"1.1334";"0.6713";"0.0001"
"9.9330";"1.1392";"0.6729";"0.0001"
"10.0330";"1.1453";"0.6747";"0.0001"
"10.1330";"1.1512";"0.6763";"0.0001"
"10.2330";"1.1568";"0.6779";"0.0002"
"10.3330";"1.1636";"0.6797";"0.0002"
"10.4330";"1.1691";"0.6813";"0.0002"
"10.5330";"1.1754";"0.6830";"0.0002"
"10.6330";"1.1815";"0.6847";"0.0001"
"10.7330";"1.1875";"0.6863";"0.0002"
"10.8330";"1.1934";"0.6880";"0.0001"
"10.9330";"1.1995";"0.6896";"0.0001"
"11.0330";"1.2055";"0.6913";"0.0001"
"11.1330";"1.2114";"0.6930";"0.0002"
"11.2330";"1.2176";"0.6946";"0.0001"
"11.3330";"1.2239";"0.6963";"0.0001"
"11.4330";"1.2296";"0.6980";"0.0001"
"11.5330";"1.2366";"0.6996";"0.0001"
"11.6330";"1.2428";"0.7013";"0.0001"
"11.7330";"1.2479";"0.7029";"0.0001"
"11.8330";"1.2546";"0.7046";"0.0001"
"11.9330";"1.2621";"0.7063";"0.0001"
"12.0330";"1.2671";"0.7079";"0.0001"
"12.1330";"1.2730";"0.7096";"0.0001"
"12.2330";"1.2798";"0.7113";"0.0001"
"12.3330";"1.2864";"0.7129";"0.0001"
"12.4330";"1.2926";"0.7147";"0.0000"
"12.5330";"1.2986";"0.7163";"0.0001"
"12.6330";"1.3051";"0.7180";"0.0001"
"12.7330";"1.3113";"0.7197";"0.0001"
"12.8330";"1.3180";"0.7213";"0.0001"
"12.9330";"1.3240";"0.7230";"0.0001"
"13.0330";"1.3308";"0.7247";"0.0001"
"13.1330";"1.3365";"0.7263";"0.0001"
"13.2330";"1.3433";"0.7280";"0.0001"
"13.3330";"1.3492";"0.7296";"0.0001"
"13.4330";"1.3554";"0.7313";"0.0001"
"13.5330";"1.3622";"0.7330";"0.0001"
"13.6330";"1.3680";"0.7346";"0.0001"
"13.7330";"1.3746";"0.7363";"0.0001"
"13.8330";"1.3809";"0.7380";"0.0000"
"13.9330";"1.3875";"0.7396";"0.0001"
"14.0330";"1.3938";"0.7413";"0.0000"
"14.1330";"1.3998";"0.7429";"0.0000"
"14.2330";"1.4067";"0.7446";"0.0000"
"14.3330";"1.4135";"0.7463";"0.0000"
"14.4330";"1.4190";"0.7479";"0.0001"
"14.5330";"1.4260";"0.7497";"0.0000"
"14.6330";"1.4322";"0.7513";"0.0000"
"14.7330";"1.4386";"0.7529";"0.0000"
"14.8330";"1.4452";"0.7547";"0.0000"
"14.9330";"1.4519";"0.7563";"0.0000"
"15.0330";"1.4580";"0.7579";"0.0000"
"15.1330";"1.4651";"0.7597";"0.0000"
"15.2330";"1.4708";"0.7613";"-0.0001"
"15.3330";"1.4773";"0.7630";"-0.0001"
"15.4330";"1.4843";"0.7647";"-0.0001"
"15.5330";"1.4910";"0.7663";"-0.0001"
"15.6330";"1.4970";"0.7680";"-0.0001"
"15.7330";"1.5038";"0.7696";"-0.0001"
"15.8330";"1.5099";"0.7713";"0.0000"
"15.9330";"1.5167";"0.7730";"-0.0001"
"16.0330";"1.5234";"0.7746";"0.0000"
"16.1330";"1.5304";"0.7763";"0.0000"
"16.2330";"1.5372";"0.7780";"0.0000"
"16.3330";"1.5430";"0.7796";"0.0000"
"16.4330";"1.5506";"0.7813";"-0.0001"
"16.5330";"1.5565";"0.7829";"0.0000"
"16.6330";"1.5631";"0.7846";"0.0000"
"16.7330";"1.5702";"0.7863";"0.0000"
"16.8330";"1.5764";"0.7879";"0.0000"
"16.9330";"1.5833";"0.7897";"0.0000"
"17.0330";"1.5901";"0.7913";"0.0000"
"17.1330";"1.5967";"0.7929";"0.0000"
"17.2330";"1.6036";"0.7947";"0.0000"
"17.3330";"1.6103";"0.7963";"0.0000"
"17.4330";"1.6170";"0.7979";"0.0000"
"17.5330";"1.6239";"0.7997";"0.0000"
"17.6330";"1.6307";"0.8013";"0.0000"
"17.7330";"1.6372";"0.8030";"0.0000"
"17.8330";"1.6447";"0.8046";"0.0000"
