Results Table 1
;"1"
End date;"maandag 12 april 2021 10:19:25"
Maximum Force;(kN);"15.77"
Displacement at Maximum Force;(mm);"3.08"

Time;Force;Displacement
(s);(kN);(mm)
"400.2330";"5.3588";"7.0844"
"400.3330";"5.3582";"7.0860"
"400.4330";"5.3576";"7.0876"
"400.5330";"5.3581";"7.0894"
"400.6330";"5.3575";"7.0910"
"400.7330";"5.3568";"7.0927"
"400.8330";"5.3572";"7.0944"
"400.9330";"5.3558";"7.0960"
"401.0330";"5.3564";"7.0977"
"401.1330";"5.3562";"7.0994"
"401.2330";"5.3558";"7.1010"
"401.3330";"5.3558";"7.1027"
"401.4330";"5.3560";"7.1044"
"401.5330";"5.3551";"7.1060"
"401.6330";"5.3556";"7.1077"
"401.7330";"5.3546";"7.1094"
"401.8330";"5.3551";"7.1110"
"401.9330";"5.3554";"7.1127"
"402.0330";"5.3550";"7.1143"
"402.1330";"5.3558";"7.1161"
"402.2330";"5.3549";"7.1177"
"402.3330";"5.3556";"7.1194"
"402.4330";"5.3555";"7.1211"
"402.5330";"5.3555";"7.1227"
"402.6330";"5.3557";"7.1244"
"402.7330";"5.3554";"7.1260"
"402.8330";"5.3545";"7.1277"
"402.9330";"5.3553";"7.1294"
"403.0330";"5.3548";"7.1310"
"403.1330";"5.3549";"7.1327"
"403.2330";"5.3556";"7.1344"
"403.3330";"5.3550";"7.1360"
"403.4330";"5.3554";"7.1377"
"403.5330";"5.3554";"7.1394"
"403.6330";"5.3548";"7.1410"
"403.7330";"5.3556";"7.1427"
"403.8330";"5.3550";"7.1443"
"403.9330";"5.3542";"7.1460"
"404.0330";"5.3545";"7.1477"
"404.1330";"5.3537";"7.1493"
"404.2330";"5.3529";"7.1510"
"404.3330";"5.3527";"7.1527"
"404.4330";"5.3519";"7.1544"
"404.5330";"5.3518";"7.1561"
"404.6330";"5.3506";"7.1577"
"404.7330";"5.3510";"7.1594"
"404.8330";"5.3510";"7.1611"
"404.9330";"5.3496";"7.1627"
"405.0330";"5.3495";"7.1644"
"405.1330";"5.3487";"7.1660"
"405.2330";"5.3478";"7.1677"
"405.3330";"5.3480";"7.1694"
"405.4330";"5.3471";"7.1710"
"405.5330";"5.3471";"7.1727"
"405.6330";"5.3467";"7.1744"
"405.7330";"5.3452";"7.1760"
"405.8330";"5.3454";"7.1777"
"405.9330";"5.3448";"7.1794"
"406.0330";"5.3441";"7.1810"
"406.1330";"5.3439";"7.1827"
"406.2330";"5.3429";"7.1843"
"406.3330";"5.3426";"7.1860"
"406.4330";"5.3427";"7.1877"
"406.5330";"5.3417";"7.1893"
"406.6330";"5.3412";"7.1910"
"406.7330";"5.3407";"7.1927"
"406.8330";"5.3396";"7.1943"
"406.9330";"5.3397";"7.1961"
"407.0330";"5.3396";"7.1977"
"407.1330";"5.3393";"7.1994"
"407.2330";"5.3392";"7.2011"
"407.3330";"5.3386";"7.2027"
"407.4330";"5.3388";"7.2044"
"407.5330";"5.3385";"7.2060"
"407.6330";"5.3381";"7.2077"
"407.7330";"5.3386";"7.2094"
"407.8330";"5.3378";"7.2110"
"407.9330";"5.3376";"7.2127"
"408.0330";"5.3379";"7.2144"
"408.1330";"5.3372";"7.2160"
"408.2330";"5.3363";"7.2177"
"408.3330";"5.3368";"7.2194"
"408.4330";"5.3367";"7.2210"
"408.5330";"5.3370";"7.2227"
"408.6330";"5.3362";"7.2243"
"408.7330";"5.3361";"7.2260"
"408.8330";"5.3362";"7.2277"
"408.9330";"5.3352";"7.2293"
"409.0330";"5.3358";"7.2310"
"409.1330";"5.3357";"7.2327"
"409.2330";"5.3349";"7.2343"
"409.3330";"5.3347";"7.2361"
"409.4330";"5.3340";"7.2377"
"409.5330";"5.3343";"7.2394"
"409.6330";"5.3340";"7.2410"
"409.7330";"5.3332";"7.2427"
"409.8330";"5.3339";"7.2444"
"409.9330";"5.3331";"7.2460"
"410.0330";"5.3330";"7.2477"
"410.1330";"5.3339";"7.2494"
"410.2330";"5.3331";"7.2510"
"410.3330";"5.3341";"7.2527"
"410.4330";"5.3346";"7.2544"
"410.5330";"5.3345";"7.2560"
"410.6330";"5.3354";"7.2577"
"410.7330";"5.3348";"7.2594"
"410.8330";"5.3345";"7.2610"
"410.9330";"5.3354";"7.2628"
"411.0330";"5.3350";"7.2644"
"411.1330";"5.3352";"7.2660"
"411.2330";"5.3359";"7.2677"
"411.3330";"5.3358";"7.2693"
"411.4330";"5.3364";"7.2710"
"411.5330";"5.3366";"7.2727"
"411.6330";"5.3367";"7.2743"
"411.7330";"5.3375";"7.2760"
"411.8330";"5.3378";"7.2777"
"411.9330";"5.3385";"7.2794"
"412.0330";"5.3382";"7.2810"
"412.1330";"5.3386";"7.2827"
"412.2330";"5.3394";"7.2844"
"412.3330";"5.3391";"7.2860"
"412.4330";"5.3395";"7.2877"
"412.5330";"5.3403";"7.2894"
"412.6330";"5.3398";"7.2910"
"412.7330";"5.3412";"7.2927"
"412.8330";"5.3411";"7.2944"
"412.9330";"5.3417";"7.2960"
"413.0330";"5.3422";"7.2977"
"413.1330";"5.3421";"7.2993"
"413.2330";"5.3425";"7.3010"
"413.3330";"5.3426";"7.3027"
"413.4330";"5.3413";"7.3043"
"413.5330";"5.3407";"7.3060"
"413.6330";"5.3401";"7.3077"
"413.7330";"5.3389";"7.3093"
"413.8330";"5.3388";"7.3111"
"413.9330";"5.3381";"7.3127"
"414.0330";"5.3373";"7.3144"
"414.1330";"5.3370";"7.3161"
"414.2330";"5.3361";"7.3177"
"414.3330";"5.3358";"7.3194"
"414.4330";"5.3353";"7.3210"
"414.5330";"5.3343";"7.3227"
"414.6330";"5.3342";"7.3244"
"414.7330";"5.3331";"7.3260"
"414.8330";"5.3335";"7.3277"
"414.9330";"5.3335";"7.3294"
"415.0330";"5.3316";"7.3310"
"415.1330";"5.3314";"7.3327"
"415.2330";"5.3311";"7.3344"
"415.3330";"5.3291";"7.3360"
"415.4330";"5.3295";"7.3377"
"415.5330";"5.3281";"7.3394"
"415.6330";"5.3274";"7.3410"
"415.7330";"5.3268";"7.3427"
"415.8330";"5.3256";"7.3443"
"415.9330";"5.3251";"7.3460"
"416.0330";"5.3238";"7.3477"
"416.1330";"5.3230";"7.3493"
"416.2330";"5.3223";"7.3510"
"416.3330";"5.3212";"7.3527"
"416.4330";"5.3209";"7.3544"
"416.5330";"5.3198";"7.3560"
"416.6330";"5.3193";"7.3577"
"416.7330";"5.3191";"7.3594"
"416.8330";"5.3181";"7.3610"
"416.9330";"5.3177";"7.3627"
"417.0330";"5.3174";"7.3644"
"417.1330";"5.3163";"7.3660"
"417.2330";"5.3160";"7.3677"
"417.3330";"5.3158";"7.3694"
"417.4330";"5.3140";"7.3710"
"417.5330";"5.3143";"7.3727"
"417.6330";"5.3132";"7.3744"
"417.7330";"5.3119";"7.3760"
"417.8330";"5.3122";"7.3777"
"417.9330";"5.3105";"7.3793"
"418.0330";"5.3104";"7.3810"
"418.1330";"5.3100";"7.3827"
"418.2330";"5.3093";"7.3843"
"418.3330";"5.3075";"7.3860"
"418.4330";"5.3069";"7.3877"
"418.5330";"5.3055";"7.3893"
"418.6330";"5.3048";"7.3910"
"418.7330";"5.3033";"7.3927"
"418.8330";"5.3028";"7.3944"
"418.9330";"5.3020";"7.3960"
"419.0330";"5.3003";"7.3977"
"419.1330";"5.3009";"7.3994"
"419.2330";"5.2994";"7.4010"
"419.3330";"5.2989";"7.4027"
"419.4330";"5.2991";"7.4044"
"419.5330";"5.2980";"7.4060"
"419.6330";"5.2976";"7.4077"
"419.7330";"5.2980";"7.4094"
"419.8330";"5.2965";"7.4110"
"419.9330";"5.2966";"7.4127"
"420.0330";"5.2963";"7.4144"
"420.1330";"5.2956";"7.4160"
"420.2330";"5.2962";"7.4177"
"420.3330";"5.2953";"7.4194"
"420.4330";"5.2957";"7.4210"
"420.5330";"5.2945";"7.4227"
"420.6330";"5.2940";"7.4243"
"420.7330";"5.2942";"7.4260"
"420.8330";"5.2936";"7.4277"
"420.9330";"5.2932";"7.4293"
"421.0330";"5.2935";"7.4310"
"421.1330";"5.2925";"7.4327"
"421.2330";"5.2926";"7.4344"
"421.3330";"5.2920";"7.4360"
"421.4330";"5.2917";"7.4377"
"421.5330";"5.2916";"7.4394"
"421.6330";"5.2908";"7.4410"
"421.7330";"5.2903";"7.4427"
"421.8330";"5.2912";"7.4444"
"421.9330";"5.2905";"7.4460"
"422.0330";"5.2907";"7.4477"
"422.1330";"5.2903";"7.4494"
"422.2330";"5.2893";"7.4510"
"422.3330";"5.2902";"7.4527"
"422.4330";"5.2897";"7.4544"
"422.5330";"5.2899";"7.4560"
"422.6330";"5.2902";"7.4577"
"422.7330";"5.2891";"7.4593"
"422.8330";"5.2896";"7.4610"
"422.9330";"5.2900";"7.4627"
"423.0330";"5.2900";"7.4643"
"423.1330";"5.2909";"7.4660"
"423.2330";"5.2898";"7.4677"
"423.3330";"5.2902";"7.4694"
"423.4330";"5.2907";"7.4710"
"423.5330";"5.2907";"7.4727"
"423.6330";"5.2905";"7.4744"
"423.7330";"5.2902";"7.4760"
"423.8330";"5.2899";"7.4777"
"423.9330";"5.2906";"7.4794"
"424.0330";"5.2895";"7.4810"
"424.1330";"5.2900";"7.4827"
"424.2330";"5.2901";"7.4844"
"424.3330";"5.2898";"7.4860"
"424.4330";"5.2902";"7.4877"
"424.5330";"5.2898";"7.4894"
"424.6330";"5.2905";"7.4910"
"424.7330";"5.2908";"7.4927"
"424.8330";"5.2902";"7.4943"
"424.9330";"5.2894";"7.4960"
"425.0330";"5.2898";"7.4977"
"425.1330";"5.2891";"7.4993"
"425.2330";"5.2894";"7.5010"
"425.3330";"5.2896";"7.5027"
"425.4330";"5.2893";"7.5043"
"425.5330";"5.2891";"7.5060"
"425.6330";"5.2889";"7.5077"
"425.7330";"5.2888";"7.5093"
"425.8330";"5.2888";"7.5110"
"425.9330";"5.2885";"7.5127"
"426.0330";"5.2894";"7.5144"
"426.1330";"5.2888";"7.5160"
"426.2330";"5.2888";"7.5177"
"426.3330";"5.2884";"7.5194"
"426.4330";"5.2874";"7.5210"
"426.5330";"5.2880";"7.5227"
"426.6330";"5.2884";"7.5244"
"426.7330";"5.2874";"7.5260"
"426.8330";"5.2885";"7.5277"
"426.9330";"5.2884";"7.5294"
"427.0330";"5.2876";"7.5310"
"427.1330";"5.2883";"7.5327"
"427.2330";"5.2875";"7.5343"
"427.3330";"5.2876";"7.5360"
"427.4330";"5.2878";"7.5377"
"427.5330";"5.2872";"7.5393"
"427.6330";"5.2875";"7.5410"
"427.7330";"5.2879";"7.5427"
"427.8330";"5.2873";"7.5443"
"427.9330";"5.2880";"7.5461"
"428.0330";"5.2874";"7.5477"
"428.1330";"5.2876";"7.5494"
"428.2330";"5.2875";"7.5510"
"428.3330";"5.2872";"7.5527"
"428.4330";"5.2874";"7.5544"
"428.5330";"5.2870";"7.5560"
"428.6330";"5.2876";"7.5577"
"428.7330";"5.2873";"7.5594"
"428.8330";"5.2869";"7.5610"
"428.9330";"5.2860";"7.5627"
"429.0330";"5.2871";"7.5644"
"429.1330";"5.2857";"7.5660"
"429.2330";"5.2867";"7.5677"
"429.3330";"5.2860";"7.5694"
"429.4330";"5.2858";"7.5710"
"429.5330";"5.2872";"7.5727"
"429.6330";"5.2860";"7.5743"
"429.7330";"5.2862";"7.5760"
"429.8330";"5.2863";"7.5777"
"429.9330";"5.2860";"7.5793"
"430.0330";"5.2872";"7.5811"
"430.1330";"5.2870";"7.5827"
"430.2330";"5.2867";"7.5844"
"430.3330";"5.2881";"7.5861"
"430.4330";"5.2873";"7.5877"
"430.5330";"5.2880";"7.5894"
"430.6330";"5.2885";"7.5910"
"430.7330";"5.2880";"7.5927"
"430.8330";"5.2884";"7.5944"
"430.9330";"5.2877";"7.5960"
"431.0330";"5.2881";"7.5977"
"431.1330";"5.2880";"7.5994"
"431.2330";"5.2874";"7.6010"
"431.3330";"5.2878";"7.6027"
"431.4330";"5.2879";"7.6044"
"431.5330";"5.2871";"7.6060"
"431.6330";"5.2881";"7.6077"
"431.7330";"5.2877";"7.6093"
"431.8330";"5.2877";"7.6110"
"431.9330";"5.2877";"7.6127"
"432.0330";"5.2873";"7.6143"
"432.1330";"5.2877";"7.6160"
"432.2330";"5.2873";"7.6177"
"432.3330";"5.2870";"7.6193"
"432.4330";"5.2887";"7.6210"
"432.5330";"5.2884";"7.6227"
"432.6330";"5.2879";"7.6243"
"432.7330";"5.2887";"7.6261"
"432.8330";"5.2886";"7.6277"
"432.9330";"5.2900";"7.6294"
"433.0330";"5.2898";"7.6311"
"433.1330";"5.2898";"7.6327"
"433.2330";"5.2905";"7.6344"
"433.3330";"5.2904";"7.6360"
"433.4330";"5.2905";"7.6377"
"433.5330";"5.2908";"7.6394"
"433.6330";"5.2906";"7.6410"
"433.7330";"5.2910";"7.6427"
"433.8330";"5.2916";"7.6444"
"433.9330";"5.2914";"7.6460"
"434.0330";"5.2925";"7.6477"
"434.1330";"5.2924";"7.6493"
"434.2330";"5.2927";"7.6510"
"434.3330";"5.2937";"7.6527"
"434.4330";"5.2931";"7.6543"
"434.5330";"5.2937";"7.6560"
"434.6330";"5.2939";"7.6577"
"434.7330";"5.2940";"7.6593"
"434.8330";"5.2951";"7.6611"
"434.9330";"5.2941";"7.6627"
"435.0330";"5.2952";"7.6643"
"435.1330";"5.2959";"7.6661"
"435.2330";"5.2960";"7.6677"
"435.3330";"5.2973";"7.6694"
"435.4330";"5.2972";"7.6710"
"435.5330";"5.2975";"7.6727"
"435.6330";"5.2983";"7.6744"
"435.7330";"5.2984";"7.6760"
"435.8330";"5.2992";"7.6777"
"435.9330";"5.2994";"7.6794"
"436.0330";"5.2999";"7.6810"
"436.1330";"5.3005";"7.6827"
"436.2330";"5.3008";"7.6844"
"436.3330";"5.3010";"7.6860"
"436.4330";"5.3017";"7.6877"
"436.5330";"5.3014";"7.6893"
"436.6330";"5.3017";"7.6910"
"436.7330";"5.3019";"7.6927"
"436.8330";"5.3011";"7.6943"
"436.9330";"5.3021";"7.6960"
"437.0330";"5.3021";"7.6977"
"437.1330";"5.3022";"7.6993"
"437.2330";"5.3027";"7.7011"
"437.3330";"5.3023";"7.7027"
"437.4330";"5.3022";"7.7043"
"437.5330";"5.3030";"7.7061"
"437.6330";"5.3027";"7.7077"
"437.7330";"5.3033";"7.7094"
"437.8330";"5.3042";"7.7110"
"437.9330";"5.3037";"7.7127"
"438.0330";"5.3039";"7.7144"
"438.1330";"5.3041";"7.7160"
"438.2330";"5.3047";"7.7177"
"438.3330";"5.3059";"7.7194"
"438.4330";"5.3057";"7.7210"
"438.5330";"5.3067";"7.7227"
"438.6330";"5.3062";"7.7243"
"438.7330";"5.3073";"7.7260"
"438.8330";"5.3077";"7.7277"
"438.9330";"5.3079";"7.7293"
"439.0330";"5.3092";"7.7310"
"439.1330";"5.3099";"7.7327"
"439.2330";"5.3100";"7.7343"
"439.3330";"5.3115";"7.7361"
"439.4330";"5.3118";"7.7377"
"439.5330";"5.3119";"7.7393"
"439.6330";"5.3131";"7.7411"
"439.7330";"5.3131";"7.7427"
"439.8330";"5.3137";"7.7444"
"439.9330";"5.3144";"7.7461"
"440.0330";"5.3141";"7.7477"
"440.1330";"5.3148";"7.7494"
"440.2330";"5.3156";"7.7510"
"440.3330";"5.3157";"7.7527"
"440.4330";"5.3168";"7.7544"
"440.5330";"5.3167";"7.7560"
"440.6330";"5.3176";"7.7577"
"440.7330";"5.3181";"7.7594"
"440.8330";"5.3182";"7.7610"
"440.9330";"5.3191";"7.7627"
"441.0330";"5.3186";"7.7643"
"441.1330";"5.3195";"7.7660"
"441.2330";"5.3208";"7.7677"
"441.3330";"5.3201";"7.7693"
"441.4330";"5.3215";"7.7710"
"441.5330";"5.3215";"7.7727"
"441.6330";"5.3221";"7.7743"
"441.7330";"5.3230";"7.7761"
"441.8330";"5.3230";"7.7777"
"441.9330";"5.3233";"7.7793"
"442.0330";"5.3244";"7.7811"
"442.1330";"5.3236";"7.7827"
"442.2330";"5.3236";"7.7844"
"442.3330";"5.3244";"7.7860"
"442.4330";"5.3243";"7.7877"
"442.5330";"5.3246";"7.7894"
"442.6330";"5.3242";"7.7910"
"442.7330";"5.3240";"7.7927"
"442.8330";"5.3238";"7.7944"
"442.9330";"5.3227";"7.7960"
"443.0330";"5.3232";"7.7977"
"443.1330";"5.3224";"7.7994"
"443.2330";"5.3222";"7.8010"
"443.3330";"5.3222";"7.8027"
"443.4330";"5.3207";"7.8043"
"443.5330";"5.3202";"7.8060"
"443.6330";"5.3201";"7.8077"
"443.7330";"5.3184";"7.8093"
"443.8330";"5.3190";"7.8111"
"443.9330";"5.3175";"7.8127"
"444.0330";"5.3161";"7.8143"
"444.1330";"5.3155";"7.8161"
"444.2330";"5.3144";"7.8177"
"444.3330";"5.3136";"7.8193"
"444.4330";"5.3132";"7.8211"
"444.5330";"5.3113";"7.8227"
"444.6330";"5.3107";"7.8244"
"444.7330";"5.3102";"7.8260"
"444.8330";"5.3089";"7.8277"
"444.9330";"5.3082";"7.8294"
"445.0330";"5.3065";"7.8310"
"445.1330";"5.3059";"7.8327"
"445.2330";"5.3056";"7.8344"
"445.3330";"5.3045";"7.8360"
"445.4330";"5.3040";"7.8377"
"445.5330";"5.3028";"7.8394"
"445.6330";"5.3021";"7.8410"
"445.7330";"5.3023";"7.8427"
"445.8330";"5.3006";"7.8443"
"445.9330";"5.3001";"7.8460"
"446.0330";"5.2996";"7.8477"
"446.1330";"5.2985";"7.8493"
"446.2330";"5.2984";"7.8511"
"446.3330";"5.2972";"7.8527"
"446.4330";"5.2954";"7.8543"
"446.5330";"5.2960";"7.8561"
"446.6330";"5.2943";"7.8577"
"446.7330";"5.2937";"7.8593"
"446.8330";"5.2927";"7.8610"
"446.9330";"5.2913";"7.8627"
"447.0330";"5.2901";"7.8644"
"447.1330";"5.2888";"7.8660"
"447.2330";"5.2881";"7.8677"
"447.3330";"5.2869";"7.8694"
"447.4330";"5.2862";"7.8710"
"447.5330";"5.2855";"7.8727"
"447.6330";"5.2843";"7.8744"
"447.7330";"5.2833";"7.8760"
"447.8330";"5.2821";"7.8777"
"447.9330";"5.2811";"7.8793"
"448.0330";"5.2800";"7.8810"
"448.1330";"5.2794";"7.8827"
"448.2330";"5.2778";"7.8843"
"448.3330";"5.2773";"7.8860"
"448.4330";"5.2766";"7.8877"
"448.5330";"5.2754";"7.8893"
"448.6330";"5.2749";"7.8911"
"448.7330";"5.2737";"7.8927"
"448.8330";"5.2734";"7.8943"
"448.9330";"5.2737";"7.8961"
"449.0330";"5.2717";"7.8977"
"449.1330";"5.2712";"7.8994"
"449.2330";"5.2704";"7.9011"
"449.3330";"5.2693";"7.9027"
"449.4330";"5.2683";"7.9044"
"449.5330";"5.2674";"7.9060"
"449.6330";"5.2659";"7.9077"
"449.7330";"5.2653";"7.9094"
"449.8330";"5.2636";"7.9110"
"449.9330";"5.2626";"7.9127"
"450.0330";"5.2615";"7.9144"
"450.1330";"5.2601";"7.9160"
"450.2330";"5.2599";"7.9177"
"450.3330";"5.2585";"7.9193"
"450.4330";"5.2583";"7.9210"
"450.5330";"5.2575";"7.9227"
"450.6330";"5.2561";"7.9243"
"450.7330";"5.2555";"7.9260"
"450.8330";"5.2549";"7.9277"
"450.9330";"5.2541";"7.9293"
"451.0330";"5.2543";"7.9311"
"451.1330";"5.2525";"7.9327"
"451.2330";"5.2523";"7.9343"
"451.3330";"5.2515";"7.9361"
"451.4330";"5.2505";"7.9376"
"451.5330";"5.2504";"7.9393"
"451.6330";"5.2486";"7.9410"
"451.7330";"5.2483";"7.9427"
"451.8330";"5.2484";"7.9444"
"451.9330";"5.2465";"7.9460"
"452.0330";"5.2464";"7.9477"
"452.1330";"5.2462";"7.9494"
"452.2330";"5.2455";"7.9510"
"452.3330";"5.2452";"7.9527"
"452.4330";"5.2439";"7.9544"
"452.5330";"5.2431";"7.9560"
"452.6330";"5.2430";"7.9577"
"452.7330";"5.2414";"7.9593"
"452.8330";"5.2405";"7.9610"
"452.9330";"5.2406";"7.9627"
"453.0330";"5.2392";"7.9643"
"453.1330";"5.2386";"7.9660"
"453.2330";"5.2368";"7.9677"
"453.3330";"5.2353";"7.9693"
"453.4330";"5.2347";"7.9711"
"453.5330";"5.2325";"7.9727"
"453.6330";"5.2309";"7.9743"
"453.7330";"5.2304";"7.9761"
"453.8330";"5.2274";"7.9777"
"453.9330";"5.2268";"7.9794"
"454.0330";"5.2253";"7.9810"
"454.1330";"5.2235";"7.9827"
"454.2330";"5.2225";"7.9844"
"454.3330";"5.2202";"7.9860"
"454.4330";"5.2194";"7.9877"
"454.5330";"5.2181";"7.9894"
"454.6330";"5.2162";"7.9910"
"454.7330";"5.2156";"7.9927"
"454.8330";"5.2141";"7.9943"
"454.9330";"5.2134";"7.9960"
"455.0330";"5.2125";"7.9977"
"455.1330";"5.2118";"7.9993"
"455.2330";"5.2116";"8.0010"
"455.3330";"5.2106";"8.0027"
"455.4330";"5.2089";"8.0043"
"455.5330";"5.2092";"8.0061"
"455.6330";"5.2085";"8.0077"
"455.7330";"5.2071";"8.0093"
"455.8330";"5.2070";"8.0111"
"455.9330";"5.2063";"8.0127"
"456.0330";"5.2052";"8.0143"
"456.1330";"5.2062";"8.0161"
"456.2330";"5.2049";"8.0177"
"456.3330";"5.2054";"8.0194"
"456.4330";"5.2037";"8.0210"
"456.5330";"5.2032";"8.0227"
"456.6330";"5.2022";"8.0244"
"456.7330";"5.2017";"8.0260"
"456.8330";"5.2013";"8.0277"
"456.9330";"5.1998";"8.0294"
"457.0330";"5.1991";"8.0310"
"457.1330";"5.1993";"8.0327"
"457.2330";"5.1984";"8.0343"
"457.3330";"5.1972";"8.0360"
"457.4330";"5.1966";"8.0377"
"457.5330";"5.1951";"8.0393"
"457.6330";"5.1950";"8.0410"
"457.7330";"5.1944";"8.0427"
"457.8330";"5.1929";"8.0443"
"457.9330";"5.1933";"8.0460"
"458.0330";"5.1921";"8.0477"
"458.1330";"5.1913";"8.0493"
"458.2330";"5.1908";"8.0511"
"458.3330";"5.1899";"8.0527"
"458.4330";"5.1887";"8.0544"
"458.5330";"5.1881";"8.0561"
"458.6330";"5.1875";"8.0577"
"458.7330";"5.1870";"8.0594"
"458.8330";"5.1864";"8.0610"
"458.9330";"5.1851";"8.0627"
"459.0330";"5.1845";"8.0644"
"459.1330";"5.1834";"8.0660"
"459.2330";"5.1830";"8.0677"
"459.3330";"5.1816";"8.0694"
"459.4330";"5.1803";"8.0710"
"459.5330";"5.1798";"8.0727"
"459.6330";"5.1784";"8.0743"
"459.7330";"5.1776";"8.0760"
"459.8330";"5.1768";"8.0777"
"459.9330";"5.1752";"8.0793"
"460.0330";"5.1750";"8.0810"
"460.1330";"5.1740";"8.0827"
"460.2330";"5.1729";"8.0843"
"460.3330";"5.1727";"8.0861"
"460.4330";"5.1714";"8.0877"
"460.5330";"5.1714";"8.0894"
"460.6330";"5.1704";"8.0911"
"460.7330";"5.1689";"8.0927"
"460.8330";"5.1685";"8.0944"
"460.9330";"5.1679";"8.0960"
"461.0330";"5.1667";"8.0976"
"461.1330";"5.1668";"8.0994"
"461.2330";"5.1656";"8.1010"
"461.3330";"5.1643";"8.1027"
"461.4330";"5.1643";"8.1044"
"461.5330";"5.1631";"8.1060"
"461.6330";"5.1628";"8.1077"
"461.7330";"5.1616";"8.1094"
"461.8330";"5.1606";"8.1110"
"461.9330";"5.1605";"8.1127"
"462.0330";"5.1595";"8.1144"
"462.1330";"5.1586";"8.1160"
"462.2330";"5.1588";"8.1177"
"462.3330";"5.1575";"8.1193"
"462.4330";"5.1572";"8.1210"
"462.5330";"5.1571";"8.1227"
"462.6330";"5.1561";"8.1243"
"462.7330";"5.1559";"8.1261"
"462.8330";"5.1548";"8.1277"
"462.9330";"5.1546";"8.1294"
"463.0330";"5.1543";"8.1311"
"463.1330";"5.1532";"8.1327"
"463.2330";"5.1537";"8.1344"
"463.3330";"5.1527";"8.1360"
"463.4330";"5.1517";"8.1377"
"463.5330";"5.1516";"8.1394"
"463.6330";"5.1503";"8.1410"
"463.7330";"5.1494";"8.1427"
"463.8330";"5.1501";"8.1444"
"463.9330";"5.1480";"8.1460"
"464.0330";"5.1485";"8.1477"
"464.1330";"5.1470";"8.1494"
"464.2330";"5.1470";"8.1510"
"464.3330";"5.1464";"8.1527"
"464.4330";"5.1452";"8.1543"
"464.5330";"5.1454";"8.1560"
"464.6330";"5.1448";"8.1577"
"464.7330";"5.1442";"8.1593"
"464.8330";"5.1437";"8.1611"
"464.9330";"5.1433";"8.1627"
"465.0330";"5.1432";"8.1644"
"465.1330";"5.1434";"8.1661"
"465.2330";"5.1425";"8.1677"
"465.3330";"5.1424";"8.1694"
"465.4330";"5.1427";"8.1711"
"465.5330";"5.1411";"8.1727"
"465.6330";"5.1416";"8.1744"
"465.7330";"5.1408";"8.1760"
"465.8330";"5.1409";"8.1777"
"465.9330";"5.1410";"8.1794"
"466.0330";"5.1400";"8.1810"
"466.1330";"5.1400";"8.1827"
"466.2330";"5.1399";"8.1844"
"466.3330";"5.1389";"8.1860"
"466.4330";"5.1388";"8.1877"
"466.5330";"5.1382";"8.1894"
"466.6330";"5.1375";"8.1910"
"466.7330";"5.1378";"8.1927"
"466.8330";"5.1370";"8.1943"
"466.9330";"5.1369";"8.1960"
"467.0330";"5.1362";"8.1977"
"467.1330";"5.1358";"8.1993"
"467.2330";"5.1354";"8.2010"
"467.3330";"5.1341";"8.2027"
"467.4330";"5.1342";"8.2043"
"467.5330";"5.1341";"8.2061"
"467.6330";"5.1327";"8.2077"
"467.7330";"5.1332";"8.2094"
"467.8330";"5.1327";"8.2111"
"467.9330";"5.1315";"8.2127"
"468.0330";"5.1315";"8.2144"
"468.1330";"5.1304";"8.2160"
"468.2330";"5.1298";"8.2177"
"468.3330";"5.1299";"8.2194"
"468.4330";"5.1292";"8.2210"
"468.5330";"5.1283";"8.2227"
"468.6330";"5.1286";"8.2244"
"468.7330";"5.1270";"8.2260"
"468.8330";"5.1270";"8.2277"
"468.9330";"5.1264";"8.2294"
"469.0330";"5.1254";"8.2310"
"469.1330";"5.1257";"8.2327"
"469.2330";"5.1252";"8.2343"
"469.3330";"5.1246";"8.2360"
"469.4330";"5.1235";"8.2377"
"469.5330";"5.1231";"8.2393"
"469.6330";"5.1232";"8.2411"
"469.7330";"5.1227";"8.2427"
"469.8330";"5.1213";"8.2444"
"469.9330";"5.1220";"8.2461"
"470.0330";"5.1202";"8.2477"
"470.1330";"5.1206";"8.2494"
"470.2330";"5.1202";"8.2510"
"470.3330";"5.1187";"8.2527"
"470.4330";"5.1184";"8.2544"
"470.5330";"5.1172";"8.2560"
"470.6330";"5.1169";"8.2577"
"470.7330";"5.1168";"8.2594"
"470.8330";"5.1159";"8.2610"
"470.9330";"5.1158";"8.2627"
"471.0330";"5.1153";"8.2644"
"471.1330";"5.1153";"8.2660"
"471.2330";"5.1151";"8.2677"
"471.3330";"5.1145";"8.2694"
"471.4330";"5.1140";"8.2710"
"471.5330";"5.1134";"8.2727"
"471.6330";"5.1131";"8.2743"
"471.7330";"5.1130";"8.2761"
"471.8330";"5.1122";"8.2777"
"471.9330";"5.1116";"8.2793"
"472.0330";"5.1115";"8.2811"
"472.1330";"5.1105";"8.2827"
"472.2330";"5.1108";"8.2843"
"472.3330";"5.1110";"8.2861"
"472.4330";"5.1102";"8.2876"
"472.5330";"5.1099";"8.2894"
"472.6330";"5.1090";"8.2910"
"472.7330";"5.1080";"8.2927"
"472.8330";"5.1087";"8.2944"
"472.9330";"5.1073";"8.2960"
"473.0330";"5.1065";"8.2977"
"473.1330";"5.1061";"8.2994"
"473.2330";"5.1053";"8.3010"
