Results Table 1
;"1"
End date;"maandag 12 april 2021 10:19:25"
Maximum Force;(kN);"15.77"
Displacement at Maximum Force;(mm);"3.08"

Time;Force;Displacement
(s);(kN);(mm)
"16.1330";"1.4898";"0.6827"
"16.2330";"1.4954";"0.6843"
"16.3330";"1.5016";"0.6861"
"16.4330";"1.5071";"0.6877"
"16.5330";"1.5127";"0.6894"
"16.6330";"1.5187";"0.6910"
"16.7330";"1.5241";"0.6927"
"16.8330";"1.5300";"0.6944"
"16.9330";"1.5355";"0.6960"
"17.0330";"1.5420";"0.6977"
"17.1330";"1.5478";"0.6994"
"17.2330";"1.5536";"0.7010"
"17.3330";"1.5595";"0.7027"
"17.4330";"1.5649";"0.7043"
"17.5330";"1.5710";"0.7060"
"17.6330";"1.5774";"0.7077"
"17.7330";"1.5826";"0.7093"
"17.8330";"1.5890";"0.7110"
"17.9330";"1.5948";"0.7127"
"18.0330";"1.6006";"0.7143"
"18.1330";"1.6071";"0.7160"
"18.2330";"1.6129";"0.7177"
"18.3330";"1.6183";"0.7193"
"18.4330";"1.6246";"0.7211"
"18.5330";"1.6299";"0.7227"
"18.6330";"1.6358";"0.7244"
"18.7330";"1.6427";"0.7261"
"18.8330";"1.6480";"0.7277"
"18.9330";"1.6545";"0.7294"
"19.0330";"1.6600";"0.7310"
"19.1330";"1.6662";"0.7327"
"19.2330";"1.6724";"0.7344"
"19.3330";"1.6783";"0.7360"
"19.4330";"1.6840";"0.7377"
"19.5330";"1.6904";"0.7394"
"19.6330";"1.6958";"0.7410"
"19.7330";"1.7026";"0.7427"
"19.8330";"1.7082";"0.7443"
"19.9330";"1.7138";"0.7460"
"20.0330";"1.7207";"0.7477"
"20.1330";"1.7262";"0.7493"
"20.2330";"1.7325";"0.7510"
"20.3330";"1.7385";"0.7527"
"20.4330";"1.7441";"0.7543"
"20.5330";"1.7505";"0.7561"
"20.6330";"1.7566";"0.7577"
"20.7330";"1.7622";"0.7593"
"20.8330";"1.7687";"0.7611"
"20.9330";"1.7750";"0.7627"
"21.0330";"1.7804";"0.7643"
"21.1330";"1.7868";"0.7660"
"21.2330";"1.7923";"0.7677"
"21.3330";"1.7991";"0.7694"
"21.4330";"1.8051";"0.7710"
"21.5330";"1.8106";"0.7727"
"21.6330";"1.8166";"0.7744"
"21.7330";"1.8225";"0.7760"
"21.8330";"1.8284";"0.7777"
"21.9330";"1.8338";"0.7794"
"22.0330";"1.8395";"0.7810"
"22.1330";"1.8464";"0.7827"
"22.2330";"1.8517";"0.7844"
"22.3330";"1.8573";"0.7860"
"22.4330";"1.8634";"0.7877"
"22.5330";"1.8689";"0.7893"
"22.6330";"1.8750";"0.7910"
"22.7330";"1.8806";"0.7927"
"22.8330";"1.8860";"0.7943"
"22.9330";"1.8922";"0.7961"
"23.0330";"1.8982";"0.7977"
"23.1330";"1.9037";"0.7993"
"23.2330";"1.9104";"0.8011"
"23.3330";"1.9157";"0.8027"
"23.4330";"1.9215";"0.8044"
"23.5330";"1.9278";"0.8061"
"23.6330";"1.9334";"0.8077"
"23.7330";"1.9403";"0.8094"
"23.8330";"1.9456";"0.8110"
"23.9330";"1.9514";"0.8127"
"24.0330";"1.9581";"0.8144"
"24.1330";"1.9640";"0.8160"
"24.2330";"1.9706";"0.8177"
"24.3330";"1.9765";"0.8194"
"24.4330";"1.9831";"0.8210"
"24.5330";"1.9890";"0.8227"
"24.6330";"1.9951";"0.8243"
"24.7330";"2.0017";"0.8260"
"24.8330";"2.0085";"0.8277"
"24.9330";"2.0142";"0.8293"
"25.0330";"2.0211";"0.8311"
"25.1330";"2.0273";"0.8327"
"25.2330";"2.0334";"0.8343"
"25.3330";"2.0405";"0.8361"
"25.4330";"2.0461";"0.8377"
"25.5330";"2.0524";"0.8393"
"25.6330";"2.0595";"0.8411"
"25.7330";"2.0656";"0.8427"
"25.8330";"2.0719";"0.8444"
"25.9330";"2.0788";"0.8460"
"26.0330";"2.0854";"0.8477"
"26.1330";"2.0913";"0.8494"
"26.2330";"2.0984";"0.8510"
"26.3330";"2.1052";"0.8527"
"26.4330";"2.1110";"0.8544"
"26.5330";"2.1176";"0.8560"
"26.6330";"2.1253";"0.8577"
"26.7330";"2.1312";"0.8594"
"26.8330";"2.1370";"0.8610"
"26.9330";"2.1445";"0.8627"
"27.0330";"2.1502";"0.8643"
